drug_class,criteria_sentences,sentence_meaning,inclusion_exclusion,negated
antihypertensive,ability to stop any current antihypertensive therapy without risk to the patient ( investigator discretion ) ; patient written informed consent in accordance with good clinical practice ( gcp ) and local legislation,willing to discontinue,Inclusion,FALSE
antihypertensive,ability to stop any current antihypertensive therapy without unacceptable risk to the patient ( investigator discretion ),catch-all,Inclusion,FALSE
antihypertensive,ability to stop any current antihypertensive therapy without unacceptable risk to the patient ( investigators discretion ),catch-all,Inclusion,FALSE
antihypertensive,ability to stop current antihypertensive therapy without risk to the patient ( investigator discretion ),willing to discontinue,Inclusion,FALSE
antihypertensive,ability to stop current antihypertensive therapy without unacceptable risk to the patient ( investigator discretion ),willing to discontinue,Inclusion,FALSE
antihypertensive,ability to stop current antihypertensive therapy without unacceptable risk to the patient ( investigator discretion ) . ;,catch-all,Inclusion,FALSE
antihypertensive,able to stop all current antihypertensive drugs ( other than study medication ) from visit 1 b through the end of the trial without risk to the patient based on the investigator opinion,unclear,Inclusion,FALSE
antihypertensive,able to stop any current antihypertensive therapy without unacceptable risk to the patient ( investigator decision ) ; willing and able to provide written informed consent ( in accordance with good clinical practice and local legislation ) .,catch-all,Inclusion,FALSE
antihypertensive,able to stop any current antihypertensive therapy without unacceptable risk to the patient .,willing to discontinue,Inclusion,FALSE
antihypertensive,administration of any agent indicated for the treatment of hypertension after visit 1 ; with the permitted exception of those antihypertensive medications requiring tapering down ( eg beta-blocker or clonidine ) commencing with visit 1 .,unclear,Exclusion,TRUE
antihypertensive,administration of any agent indicated for the treatment of hypertension within a minimum 4 weeks prior to randomization into the study ( visit 2 ; week 0 ) ; with the permitted exception of those anti-hypertensive medications requiring tapering down commencing at visit 0 ( week 6 to 4 ) .,unclear,Exclusion,TRUE
antihypertensive,administration of any agent indicated for the treatment of hypertension within a minimum 4 weeks prior to randomization into the study ( visit 2 ; week 0 ) ; with the permitted exception of those anti-hypertensive medications requiring tapering down commencing at visit 0 ( week 4 to 6 ) .,unclear,Exclusion,TRUE
antihypertensive,all subjects undergoing washout of their prior antihypertensive medication will have the opportunity to re-visit the study sites for additional visits during washout ( visits 2 and 2,unclear,Inclusion,FALSE
antihypertensive,antihypertensive medications must be discontinued completely by day 14 ; except antihypertensive medications used in the open-label treatment period in accordance with the titration-to-target blood pressure titration .,unclear,Exclusion,FALSE
antihypertensive,antihypertensive medications must be discontinued completely by day 14 ; except antihypertensive medications used in the open-label treatment period in accordance with the titration-to-target blood pressure titration .,unclear,Exclusion,TRUE
"antihypertensive, any",any anti-hypertensive treatment other than valsartan 80 mg,concomitant,Exclusion,FALSE
antihypertensive,at visit 1 ; patients not treated with antihypertensive medications had to have a msdbp of > = 95 mmhg and < 110 mmhg,on-medication BP,Inclusion,TRUE
antihypertensive,blood pressure not adequately controlled on existing treatment before entry ( inadequate control defined as seated dbp > = 95 mmhg on one current antihypertensive medication or dbp > = 90 mmhg on two or more current antihypertensive medication ( s ) .,,Inclusion,FALSE
antihypertensive,clinical diagnosis requiring concomitant therapy with antihypertensive treatment that would be outside the therapies allowed under study protocol,,Exclusion,FALSE
antihypertensive,concomitant therapy with antihypertensive drugs non permitted by protocol ; corticosteroids or drugs known to affect blood pressure,,Exclusion,FALSE
antihypertensive,concomitant therapy with antihypertensive drugs non-permitted by protocol ; or present use of tricyclic antidepressant ; corticosteroids or drugs known to affect blood pressure,,Exclusion,FALSE
antihypertensive,concomitant treatment with any other antihypertensive medication that cannot be safely withdrawn at entry ( i ; e taken on a stable regimen for > / = 4 week ) and that won ' t possibly be kept stable over the whole duration of the study .,,Exclusion,FALSE
antihypertensive,dual fixed dose combination therapy was considered as two antihypertensive drugs .,,Exclusion,FALSE
antihypertensive,,,Inclusion,FALSE
antihypertensive montherapy,monotherapy is defined as treatment with one antihypertensive medication for at least four weeks,,Inclusion,FALSE
beta blocker,administration of any agent indicated for the treatment of hypertension after visit 1 ; with the permitted exception of those antihypertensive medications requiring tapering down ( eg beta-blocker or clonidine ) commencing with visit 1 .,,Exclusion,FALSE
beta blocker,beta blocker / calcium channel blocker,unclear,Inclusion,FALSE
beta blocker,beta blocker / low dose diuretic,unclear,Inclusion,FALSE
beta blocker,clinical significant respiratory disease that would prohibit the use of a beta blocker,,Exclusion,FALSE
beta blocker,subjects on beta blockers or calcium channel blockers ( ccbs ) for both hypertension and either ischemia ; post-mi prophylaxis or tachyarrhythmias .,,Exclusion,FALSE
calcium channel blocker,ace inhibitor / calcium channel blocker,,Inclusion,FALSE
calcium channel blocker,beta blocker / calcium channel blocker,,Inclusion,FALSE
calcium channel blocker,subjects on beta blockers or calcium channel blockers ( ccbs ) for both hypertension and either ischemia ; post-mi prophylaxis or tachyarrhythmias .,,Exclusion,FALSE
digoxin,administration of digoxin or other digitalis-type drugs,,Exclusion,FALSE
diuretic,ace inhibitor / low dose diuretic,,Inclusion,FALSE
diuretic,beta blocker / low dose diuretic,,Inclusion,FALSE
diuretic,potassium-sparing diuretics,,Exclusion,FALSE
